ec5_uuid,ec5_parent_uuid,created_at,uploaded_at,title,8_Species,9_Is_it_a_juvenile,10_Foraging_type,11_Substrate,12_where,13_if_dead_decay_cla,14_tree_species,15_tree_size_class,16_time_spent_sec,17_distance_m,18_bearing,lat_19_location,long_19_location,accuracy_19_location,UTM_Northing_19_location,UTM_Easting_19_location,UTM_Zone_19_location,20_If_not_foraging,21_sex,22_height_ratio,23_comments,24_time_of_obs
36d19c6e-8eb6-4b44-ada4-15c776b12b0d,2e9ff0a8-390a-4e3e-b1ce-d02b2cfeeef1,2025-07-26T12:10:47.000Z,2025-07-26T16:16:51.000Z,RBWO,RBWO,,gleaning/searching,alive,"secondary limb","1 live tree","Quercus falcata",70+cm,57,5,45,30.663218,-84.218016,3,3395581,766564,16R,Foraging,male,50,,08:10
5d16b142-e757-4c40-b04b-ca4617be6489,2e9ff0a8-390a-4e3e-b1ce-d02b2cfeeef1,2025-07-26T11:58:11.000Z,2025-07-26T16:16:50.000Z,DOWO,DOWO,,gleaning/searching,dead,"tertiary limb","1 live tree","Quercus virginiana",61-70cm,23,19,58,30.662676,-84.217124,3,3395523,766651,16R,Foraging,female,95,"Pecking and moving like its checking the resonance of the branch. Moved often",07:56
d2aef784-8c23-449a-9001-6cf0a2c8b7cd,e94652f2-35a4-42a5-9577-37f6c797ddf1,2025-07-25T14:39:13.000Z,2025-07-25T16:43:48.000Z,PIWO,PIWO,,drilling/probing,dead,"lower bole (below first secondary limb)","1 live tree",Quercus,21-30cm,37,105,255,30.747453,-84.003127,6,3405452,786913,16R,Foraging,female,15,"Pecked on trunk, then searched for 120sec, then pecked same spot for 15sec, then move to nearby tree. Off plot",10:37
3e8d2016-02c5-409a-86c4-ed951abb004a,e94652f2-35a4-42a5-9577-37f6c797ddf1,2025-07-25T13:54:20.000Z,2025-07-25T16:43:45.000Z,PIWO,PIWO,,drilling/probing,dead,"secondary limb","1 live tree","Quercus nigra",41-50cm,281,82,127,30.748916,-84.000365,7,3405621,787173,16R,Foraging,female,45,"Maybe juv",09:53
6b365dc2-93de-4511-8ae9-68f9a97ba0c3,e94652f2-35a4-42a5-9577-37f6c797ddf1,2025-07-25T13:35:45.000Z,2025-07-25T16:43:43.000Z,RHWO,RHWO,,gleaning/searching,alive,ground,"1 live tree",Pipa,11-20cm,98,26,208,30.74933,-84.001081,5,3405665,787104,16R,Foraging,unknown,0,"Spent a while down there",09:35
119866a0-f080-4e19-8c8a-f8f34605c8bb,d9b2a8bf-8c3c-4805-8d72-642dd18f62d2,2025-07-25T15:42:40.000Z,2025-07-25T16:43:39.000Z,RHWO,RHWO,,gleaning/searching,dead,ground,"1 live tree",Pipa,21-30cm,14,65,147,30.757967,-83.999127,4,3406624,212901,17R,Foraging,unknown,0,"Did a second foraging bout, perched on veg second time but was on ground for this obs",11:41
ce0af947-53b9-4b72-a7d9-32043cad50df,d9b2a8bf-8c3c-4805-8d72-642dd18f62d2,2025-07-25T15:29:56.000Z,2025-07-25T16:43:37.000Z,RHWO,RHWO,,gleaning/searching,alive,"tertiary limb","1 live tree",Pipa,11-20cm,5,54,32,30.757793,-84.001655,6,3406602,787024,16R,Foraging,unknown,45,"Hovered on branch for a sec and grabbed a bug.",11:29
6060c334-cd37-4582-94fd-82227d4d19eb,d9b2a8bf-8c3c-4805-8d72-642dd18f62d2,2025-07-25T12:23:50.000Z,2025-07-25T16:43:35.000Z,RCWO,RCWO,,gleaning/searching,alive,"upper bole (above first secondary limb)","1 live tree",Pipa,51-60cm,146,44,136,30.758024,-84.001477,3,3406628,787040,16R,Foraging,unknown,70,"Grabbed something",08:23
5a9a5f32-3432-4142-a3eb-d25d97e04630,535c9419-4b00-4575-b10a-b927f1e03600,2025-07-24T13:14:17.000Z,2025-07-24T17:56:43.000Z,RCWO,RCWO,,gleaning/searching,alive,"secondary limb","1 live tree",Pita,51-60cm,84,49,106,30.860956,-84.014242,4,3418010,785512,16R,Foraging,unknown,95,"With 1 other RCW. Stopped when foraged on dead tert for 30sec",09:13
afff2d28-b621-4f4b-a926-96cbe598c048,b4642416-bce9-46c1-8329-df326fe415d2,2025-07-24T15:59:18.000Z,2025-07-24T17:56:38.000Z,RHWO,RHWO,,Hawking,dead,"upper bole (above first secondary limb)","1 live tree","Quercus nigra",31-40cm,4,58,201,30.867066,-84.007866,4,3418704,786104,16R,Foraging,unknown,40,"Hawked under hardwood and grabbed something",11:57
d71bff66-5802-4e69-aaa0-f8ad2370731c,b4642416-bce9-46c1-8329-df326fe415d2,2025-07-24T12:48:17.000Z,2025-07-24T17:56:36.000Z,RHWO,RHWO,,gleaning/searching,dead,ground,"1 live tree",Pipa,41-50cm,12,115,194,30.868082,-84.008639,5,3418815,786027,16R,Foraging,unknown,0,,08:47
61d18112-267a-4ab8-a35a-20328afe1bd0,c6513067-cd19-461a-8c36-19f484916c4b,2025-07-24T17:04:59.000Z,2025-07-24T17:56:32.000Z,RCWO,RCWO,,gleaning/searching,alive,"secondary limb","1 live tree",Pipa,31-40cm,67,59,284,30.86624,-84.022824,3,3418574,784676,16R,Foraging,unknown,95,,13:04
59db7802-d4ca-4924-b7e6-f024c9786368,c6513067-cd19-461a-8c36-19f484916c4b,2025-07-24T16:39:44.000Z,2025-07-24T17:56:31.000Z,RCWO,RCWO,,flaking,alive,"secondary limb","1 live tree",Pipa,51-60cm,87,22,166,30.865238,-84.023942,7,3418460,784572,16R,Foraging,unknown,90,,12:38
47fa438d-ea11-4346-b1f4-9d9c6e042aa2,c6513067-cd19-461a-8c36-19f484916c4b,2025-07-24T12:21:29.000Z,2025-07-24T17:56:29.000Z,RCWO,RCWO,,drilling/probing,alive,"tertiary limb","1 live tree",Pipa,61-70cm,276,51.5,14,30.866344,-84.023914,3,3418583,784571,16R,Foraging,unknown,80,"Pecking green cone",08:17
a5796063-97c3-4988-a112-982cb8676550,c6513067-cd19-461a-8c36-19f484916c4b,2025-07-24T12:00:14.000Z,2025-07-24T17:56:27.000Z,RCWO,RCWO,,gleaning/searching,alive,"secondary limb","1 live tree",Pipa,61-70cm,15,24,235,30.867156,-84.024282,4,3418672,784534,16R,Foraging,unknown,90,"With juv. Foraged on dead tertiary branch for over 50sec before",07:59
d3e1e724-cade-4d0f-9c8b-e189675c858d,89889900-0808-46f9-b142-5f912a553ef0,2025-07-24T11:42:42.000Z,2025-07-24T17:56:22.000Z,RCWO,RCWO,,gleaning/searching,alive,"upper bole (above first secondary limb)","1 live tree",Pipa,11-20cm,20,31.5,74,30.865618,-84.043465,5,3418453,782703,16R,Foraging,unknown,85,,07:41
1ae9bd93-2c07-4590-bd14-537b91dc3e16,ba3ea8da-f7d2-447d-b723-d3bd0e7f0d55,2025-07-23T12:03:12.000Z,2025-07-23T17:02:04.000Z,RCWO,RCWO,,drilling/probing,alive,"upper bole (above first secondary limb)","1 live tree",Longleaf,41-50cm,82,49.1,31,30.673183,-84.217213,3,3396687,766614,16R,Foraging,unknown,50,,08:01
aca245ec-3be6-43b7-9f11-a4af386fc4b0,e42f0ecc-ac9e-451f-883d-fad7f617b2c2,2025-07-23T14:41:23.000Z,2025-07-23T15:34:55.000Z,RHWO,RHWO,,gleaning/searching,alive,ground,"1 live tree",Pinus,31-40cm,2,60,308,30.66227,-84.237946,3,3395428,764656,16R,Foraging,unknown,0,"Gleaned off of shrub and captured prey.",10:40
27661303-142f-47af-84ea-04d4ee934b04,e42f0ecc-ac9e-451f-883d-fad7f617b2c2,2025-07-23T14:42:31.000Z,2025-07-23T15:34:51.000Z,RHWO,RHWO,,"Other (includes not foraging)",alive,"lower bole (below first secondary limb)","1 live tree",Piec,41-50cm,5,117,301,30.662267,-84.237941,3,3395428,764657,16R,"Fighting same species",unknown,10,,10:41
28dbffb3-ea59-4d54-aa75-9677759ebd1d,e42f0ecc-ac9e-451f-883d-fad7f617b2c2,2025-07-23T14:00:04.000Z,2025-07-23T15:34:47.000Z,RHWO,RHWO,,gleaning/searching,dead,ground,"1 live tree",Piec,31-40cm,24,47,53,30.661992,-84.236098,3,3395402,764834,16R,Foraging,unknown,0,,09:59
457563d7-94d6-4983-8ab0-1a8e774e3cff,e42f0ecc-ac9e-451f-883d-fad7f617b2c2,2025-07-23T13:34:56.000Z,2025-07-23T15:34:43.000Z,RBWO,RBWO,,gleaning/searching,dead,"secondary limb","1 live tree",Piec,51-60cm,59,51,319,30.661324,-84.23794,4,3395323,764659,16R,Foraging,female,75,,09:34
8a7082e0-a07d-4a4c-a58c-de80c72fbf3a,9b631338-5fef-400c-8af1-da11b799d1b4,2025-07-23T12:45:10.000Z,2025-07-23T15:34:34.000Z,RCWO,RCWO,,gleaning/searching,alive,"secondary limb","1 live tree",Pita,70+cm,62,72,196,30.650866,-84.224673,3,3394195,765960,16R,Foraging,unknown,40,"Juv with them couldnt tell if juv or not. Other individual foraged nearby on tertiary limbs for same amount of time",08:43
2504f315-f940-4273-99f5-c41ab71ef4d4,9b631338-5fef-400c-8af1-da11b799d1b4,2025-07-23T12:32:40.000Z,2025-07-23T15:34:30.000Z,RHWO,RHWO,,Hawking,alive,other,"1 live tree",Na,1-10cm,12,70,115,30.650984,-84.225051,3,3394207,765923,16R,Foraging,unknown,20,"I could see the prey it was going for. Did two bouts over the road.",08:31
ea1fd653-7596-4ee6-8904-c71ff371a1f2,9b631338-5fef-400c-8af1-da11b799d1b4,2025-07-23T12:29:45.000Z,2025-07-23T15:34:26.000Z,RCWO,RCWO,,gleaning/searching,dead,"secondary limb","1 live tree",Piec,61-70cm,14,50.6,128,30.650931,-84.224989,3,3394202,765929,16R,Foraging,unknown,45,"Al on left.",08:28
dd67a822-78f6-423a-b364-25845a38a4f3,8c5efc00-0a59-4c35-bfd1-5fdf35c89c3a,2025-07-23T15:24:59.000Z,2025-07-23T15:34:22.000Z,RCWO,RCWO,,flaking,alive,"lower bole (below first secondary limb)","1 live tree",Pipa,31-40cm,145,16.8,171,30.658876,-84.207975,8,3395123,767538,16R,Foraging,unknown,25,"Off plot. With two juvs. RL: DG over wh",11:23
6b8dcac0-ae78-42ba-a988-e7b6c9f226cf,000cd7a6-5856-4e29-9cd7-5649f515d4bc,2025-07-22T12:22:36.000Z,2025-07-22T19:13:24.000Z,RHWO,RHWO,Yes,gleaning/searching,alive,"secondary limb","1 live tree",Longleaf,31-40cm,37,36.7,133,30.638105,-83.691095,3,3392584,242080,17R,Foraging,unknown,60,,08:21
d2a52c32-39d4-4724-b472-a9a8bd3e0e96,abef2654-ff83-4070-a9c0-6cdef399eff8,2025-07-22T11:59:27.000Z,2025-07-22T19:13:20.000Z,RHWO,RHWO,Yes,"Other (includes not foraging)",dead,"secondary limb","1 live tree",Longleaf,31-40cm,300,68.2,235,30.633049,-83.700721,3,3392045,241144,17R,Resting/Preening/Vigilance,unknown,60,"Juvenile preening and being vigilant for 5 minutes",07:57
49f48be9-98a7-4bdf-a53a-1127b8d1c6f4,ba3596de-95db-4970-bfe4-6ccf702a30b3,2025-07-22T14:45:10.000Z,2025-07-22T19:12:37.000Z,RCWO,RCWO,,gleaning/searching,dead,"secondary limb","1 live tree",Piec,41-50cm,16,82.8,250,30.62543,-83.686845,3,3391169,242454,17R,Foraging,unknown,75,,10:44
995d5abc-ad35-4871-a58e-2b91987998b5,ba3596de-95db-4970-bfe4-6ccf702a30b3,2025-07-22T14:31:17.000Z,2025-07-22T19:12:35.000Z,RCWO,RCWO,,drilling/probing,alive,"upper bole (above first secondary limb)","1 live tree",Piec,41-50cm,135,67,266,30.625493,-83.686723,3,3391175,242466,17R,Foraging,unknown,55,"Looks like pecking near where branches fell off. Fresh wound. Displaced by RHWO. LL:DGxxOr. Positive on Or, unsure about dg. Maybe xxDGHP. With other rcws",10:30
5c9ca7ea-8af9-4c0a-ac59-601b8956fdf1,ba3596de-95db-4970-bfe4-6ccf702a30b3,2025-07-22T14:32:10.000Z,2025-07-22T19:12:33.000Z,RHWO,RHWO,,"Other (includes not foraging)",alive,"upper bole (above first secondary limb)","1 live tree",Piec,31-40cm,5,37,266,30.625491,-83.686729,3,3391175,242465,17R,"Fighting different species (specify in comments)",unknown,55,"Rhwo displaced rcwo on pine",10:31
7ae2cbd8-1706-4747-afb5-c77c154dc595,ba3596de-95db-4970-bfe4-6ccf702a30b3,2025-07-22T14:28:58.000Z,2025-07-22T19:12:31.000Z,RBWO,RBWO,Yes,gleaning/searching,dead,"secondary limb","1 live tree",Piec,51-60cm,8,34,291,30.625488,-83.686722,3,3391175,242466,17R,Foraging,unknown,65,,10:28
339af652-0eef-4567-97e4-c58370621726,ba3596de-95db-4970-bfe4-6ccf702a30b3,2025-07-22T14:18:37.000Z,2025-07-22T19:12:29.000Z,PIWO,PIWO,,gleaning/searching,dead,"secondary limb","1 live tree",Pita,51-60cm,35,152,155,30.625838,-83.685996,3,3391212,242537,17R,Foraging,unknown,20,"Was foraging closer in peloton secondary lige limbs for 130sec before I spooked it trying to get a closer look",10:17
8bc251aa-d164-466a-957a-db9ef579ec94,ba3596de-95db-4970-bfe4-6ccf702a30b3,2025-07-22T13:58:30.000Z,2025-07-22T19:12:27.000Z,RBWO,RBWO,,gleaning/searching,alive,"lower bole (below first secondary limb)","1 live tree",Pita,61-70cm,48,79,163,30.62632,-83.684607,3,3391262,242671,17R,Foraging,male,45,"Foraged on secondary live limb after",09:57
a2f9a45f-6f4c-4375-925d-c627ba9831ef,ba3596de-95db-4970-bfe4-6ccf702a30b3,2025-07-22T13:32:10.000Z,2025-07-22T19:12:25.000Z,RBWO,RBWO,,gleaning/searching,alive,"lower bole (below first secondary limb)","1 live tree","Quercus nigra",31-40cm,66,37,181,30.628281,-83.685331,3,3391481,242607,17R,Foraging,female,25,"Was probing dead secondary before but dont know when she started",09:31
4fad4e31-7f36-4d4a-8f6c-3ed2878b1d95,dea7efdd-ba1b-4f3a-b88b-b4885d0a59f5,2025-07-22T11:48:07.000Z,2025-07-22T19:12:21.000Z,RBWO,RBWO,,gleaning/searching,alive,"lower bole (below first secondary limb)","1 live tree",Pipa,11-20cm,18,79,287,30.625349,-83.667535,3,3391115,244306,17R,Foraging,female,20,"Foraged on similar tree 20ftaway for 22sec after",07:47
112059d0-6fea-4441-9f6f-c1c52ed2a3ed,e0e8b2f6-39c7-4935-ba85-beca7d69de73,2025-07-11T13:14:56.000Z,2025-07-11T14:42:02.000Z,RCWO,RCWO,,drilling/probing,alive,"lower bole (below first secondary limb)","1 live tree",Piec,61-70cm,425,52,155,30.653042,-84.236863,3,3394408,764785,16R,Foraging,unknown,45,"Lightning struck tree. Pecked at base of secondary limb for a long time. Other rcws on tree too",09:12
20f2898f-4146-46b8-83e3-8ea61ebad7e9,e0e8b2f6-39c7-4935-ba85-beca7d69de73,2025-07-11T12:07:22.000Z,2025-07-11T14:42:00.000Z,RCWO,RCWO,,drilling/probing,alive,"upper bole (above first secondary limb)","1 live tree",Piec,51-60cm,382,54,262,30.651587,-84.23573,5,3394249,764898,16R,Foraging,unknown,70,,08:04
4bde28dc-bbc9-4290-a81d-5cebe1ea561d,da7a23fd-67a2-4891-a501-3e673c3842b4,2025-07-10T16:27:36.000Z,2025-07-10T16:31:05.000Z,RBWO,RBWO,,"Other (includes not foraging)",alive,"upper bole (above first secondary limb)","1 live tree",Loblolly,31-40cm,1,102,100,30.649724,-84.216329,4,3394088,766763,16R,Resting/Preening/Vigilance,female,50,"Sitting on bole next to a cavity, being vigilant and resting",12:24
c99f0d8a-8ae4-40eb-9ff6-bbb5ae1c9c9e,edf4631d-0288-4962-b80e-58b64746be65,2025-07-10T13:32:56.000Z,2025-07-10T15:16:24.000Z,RBWO,RBWO,Yes,gleaning/searching,dead,"secondary limb","1 live tree",Pita,51-60cm,68,63.5,284,30.661768,-84.249098,3,3395346,763589,16R,Foraging,unknown,45,,09:31
0ba132b3-7899-4f16-8d78-14fc65bfd4ad,edf4631d-0288-4962-b80e-58b64746be65,2025-07-10T13:13:13.000Z,2025-07-10T15:16:22.000Z,DOWO,DOWO,Yes,gleaning/searching,dead,"secondary limb","1 live tree",Piec,11-20cm,16,29.5,35,30.663507,-84.248589,3,3395540,763633,16R,Foraging,male,30,,09:12
a30633d4-702b-482a-bd85-3d6955b1462c,edf4631d-0288-4962-b80e-58b64746be65,2025-07-10T12:40:12.000Z,2025-07-10T15:16:20.000Z,DOWO,DOWO,,gleaning/searching,alive,"upper bole (above first secondary limb)","1 live tree",Piec,11-20cm,26,47,202,30.66269,-84.247981,3,3395451,763693,16R,Foraging,female,70,,08:39
0d5ae5ed-0382-402b-84e5-de9fa0eeb09e,c90d4dd1-2a00-4fc5-8557-bac1cdac7d2f,2025-07-10T13:32:35.000Z,2025-07-10T13:32:40.000Z,RHWO,RHWO,,drilling/probing,dead,"secondary limb","5 loss most of secondary limbs",Pine,41-50cm,31,16.8,268,30.650107,-84.226105,4,3394108,765825,16R,Foraging,unknown,85,"Probing at limb, distracted by a BLJA on higher limb, stopped to chase it off",09:30
0b1b6ada-7bf6-4b7f-9c07-b7abdaa4901f,081ebc07-a037-4417-ba59-ce8e4997a6e4,2025-07-09T13:24:33.000Z,2025-07-09T20:12:44.000Z,RCWO,RCWO,,flaking,alive,"tertiary limb","1 live tree",Pipa,21-30cm,29,49,16,30.643341,-83.673597,3,3393124,243772,17R,Foraging,unknown,90,"With juveniles, one male",09:23
03b84718-c73c-4a23-84de-09c11ef452b1,ee9a252e-33b7-4101-b9b7-95128ba76484,2025-07-09T15:00:55.000Z,2025-07-09T20:12:35.000Z,RBWO,RBWO,,flaking,alive,"secondary limb","1 live tree",Piec,51-60cm,316,34.7,209,30.646183,-83.687493,4,3393471,242447,17R,Foraging,male,85,"Flaking in one spot between secondary branch and bole",10:58
08eaf7cd-9e55-4f95-94cf-1227869ca26b,ee9a252e-33b7-4101-b9b7-95128ba76484,2025-07-09T14:10:49.000Z,2025-07-09T20:12:31.000Z,RCWO,RCWO,,flaking,alive,"upper bole (above first secondary limb)","1 live tree",Pita,31-40cm,121,66,276,30.644896,-83.68594,4,3393325,242593,17R,Foraging,unknown,65,,10:10
115fc178-d05e-4b3e-b526-512b33b20fd2,ee9a252e-33b7-4101-b9b7-95128ba76484,2025-07-09T14:05:50.000Z,2025-07-09T20:12:27.000Z,RHWO,RHWO,,"Other (includes not foraging)",alive,"lower bole (below first secondary limb)","1 live tree",Pita,41-50cm,2,53,156,30.64485,-83.686243,3,3393320,242563,17R,"Fighting different species (specify in comments)",unknown,5,"Displaced rbwo",10:04
2c8af023-3d37-420a-9d75-83519ec084dc,ee9a252e-33b7-4101-b9b7-95128ba76484,2025-07-09T13:58:30.000Z,2025-07-09T20:12:23.000Z,RHWO,RHWO,,gleaning/searching,dead,ground,"1 live tree",Pita,51-60cm,17,68,176,30.644986,-83.685404,4,3393334,242644,17R,Foraging,unknown,5,,09:57
09104033-25ab-449a-91b1-4b35eaf28f79,34f41eca-1fb6-480a-8e87-2e169eabd092,2025-07-09T18:07:23.000Z,2025-07-09T20:12:13.000Z,RHWO,RHWO,,"Other (includes not foraging)",alive,"upper bole (above first secondary limb)","1 live tree","Water oak",41-50cm,5,69,353,30.638806,-83.691564,3,3392662,242037,17R,"Fighting same species",unknown,75,,14:06
d0c5f3b2-b918-49d2-a7ed-6d264747e754,34f41eca-1fb6-480a-8e87-2e169eabd092,2025-07-09T18:05:23.000Z,2025-07-09T20:12:09.000Z,RBWO,RBWO,,gleaning/searching,alive,"secondary limb","1 live tree","Water oak",31-40cm,43,48,206,30.63879,-83.691577,5,3392661,242036,17R,Foraging,unknown,80,"Stopped time when searched on tert limb. Went back to climbing up secondary after",14:04
228b19da-4d62-4479-b90e-ed766b5423e7,34f41eca-1fb6-480a-8e87-2e169eabd092,2025-07-09T16:59:44.000Z,2025-07-09T20:12:05.000Z,RCWO,RCWO,,flaking,dead,"secondary limb","1 live tree",Pita,41-50cm,21,18.4,274,30.637103,-83.691277,3,3392473,242060,17R,Foraging,unknown,50,,12:58
d45da120-19a8-413c-8c28-e14132b51352,34f41eca-1fb6-480a-8e87-2e169eabd092,2025-07-09T12:36:55.000Z,2025-07-09T20:12:01.000Z,DOWO,DOWO,Yes,gleaning/searching,alive,"lower bole (below first secondary limb)","1 live tree",Pipa,31-40cm,23,17.1,195,30.638202,-83.690651,3,3392593,242123,17R,Foraging,male,40,,08:36
1737c080-613f-48ce-ad74-7e09374a8d4d,34f41eca-1fb6-480a-8e87-2e169eabd092,2025-07-09T12:36:12.000Z,2025-07-09T20:11:57.000Z,RBWO,RBWO,,gleaning/searching,alive,"secondary limb","1 live tree",Pipa,31-40cm,23,2,180,30.638153,-83.690621,3,3392588,242126,17R,Foraging,male,65,,08:33
85c94e05-4a6c-488c-b7c3-ac67be05d24b,34f41eca-1fb6-480a-8e87-2e169eabd092,2025-07-09T12:29:46.000Z,2025-07-09T20:11:53.000Z,RHWO,RHWO,,gleaning/searching,alive,"tertiary limb","1 live tree",Pipa,31-40cm,17,21,353,30.637987,-83.69014,3,3392568,242172,17R,Foraging,unknown,70,,08:28
a190a8de-41ed-40e9-908f-b9eb4a1f1bf4,34f41eca-1fb6-480a-8e87-2e169eabd092,2025-07-09T12:13:45.000Z,2025-07-09T20:11:49.000Z,RBWO,RBWO,,gleaning/searching,alive,"secondary limb","1 live tree",Pipa,31-40cm,134,22.5,184,30.63796,-83.690718,4,3392567,242116,17R,Foraging,female,75,,08:12
8d900491-500d-4ace-9179-d1e4bb296187,7382f1ca-2299-4215-bfa4-b8065d9f725f,2025-07-09T17:19:45.000Z,2025-07-09T18:27:37.000Z,RCWO,RCWO,,drilling/probing,alive,"upper bole (above first secondary limb)","1 live tree",Loblolly?,41-50cm,146,78.9,237,30.630287,-83.675038,4,3391680,243599,17R,Foraging,unknown,35,"Some brief flaking behavior at the first 5 seconds, rest was drilling",13:13
0a36f8d2-ddc1-480f-9cbd-a8bea382b709,7382f1ca-2299-4215-bfa4-b8065d9f725f,2025-07-09T12:53:47.000Z,2025-07-09T18:27:34.000Z,DOWO,DOWO,,drilling/probing,alive,"secondary limb","1 live tree",Pine,31-40cm,79,48,325,30.631728,-83.676051,4,3391842,243506,17R,Foraging,unknown,85,"Couldn't see if it had the red spot because of lighting, but did not seem to be a juvenile",08:51
21fdb1f5-679e-4b9e-b871-d1aeb8150caa,df622159-2b11-4911-8077-169f152fd2e4,2025-07-07T16:31:11.000Z,2025-07-09T12:51:17.000Z,RCWO,RCWO,,flaking,alive,"secondary limb","1 live tree",Longleaf,21-30cm,24,42,20,30.780864,-83.99993,4,3409165,212892,17R,Foraging,unknown,30,,12:30
242a800b-0ccc-446b-84a7-53d34108c415,b69f6aeb-ecc3-4f26-b5ef-69a0c2a567a6,2025-07-07T13:13:32.000Z,2025-07-09T12:51:13.000Z,RCWO,RCWO,,gleaning/searching,alive,"secondary limb","1 live tree",Hardwood,31-40cm,15,8.9,97,30.779025,-84.004402,3,3408950,786697,16R,Foraging,unknown,65,"A little ways off plot 2",09:12
